index,roomname,region,vanillaitemname,roomid,locationid,hiddenness,altlocationids
24,Pink Pillar Missile,Cliffhanger,Missile,0x78676,0x78676,open,0
25,Construction Zone Missile,Cliffhanger,Missile,0x7877E,0x7877E,hidden,0
26,Billy Mays Missile,Cliffhanger,Missile,0x78798,0x78798,hidden,0
27,Blue Heads Power Bomb,Cliffhanger,Missile,0x787B0,0x787B0,hidden,0
28,Brinstar Entry Missile,Cliffhanger,Missile,0x781CC,0x781CC,open,0
29,Jabba Missile,Cliffhanger,Missile,0x78824,0x78824,hidden,0x7C6D7
30,Beyond Bull Prize Energy Tank,Cliffhanger,Missile,0x78836,0x78836,hidden,0
31,Blue Tower Power Bomb,Cliffhanger,Missile,0x78866,0x78866,chozo,0
32,Evir Exit Power Bomb,Cliffhanger,Missile,0x7C365,0x7C365,open,0
33,Museum Super Ceiling Missile,Cliffhanger,Missile,0x7888C,0x7888C,hidden,0
34,Charge Beam,Cliffhanger,Missile,0x78898,0x78898,hidden,0
35,Museum Energy Tank,Cliffhanger,Missile,0x788B6,0x788B6,chozo,0
36,Screw Attack,Cliffhanger,Missile,0x78D9C,0x78D9C,hidden,0
37,Ice Beam,Cliffhanger,Missile,0x78ACA,0x78ACA,chozo,0
38,King Smurf Missile,Cliffhanger,Missile,0x78AE4,0x78AE4,hidden,0
39,Tripper Missile,Cliffhanger,Missile,0x78B2C,0x78B2C,hidden,0
40,Croc Power Bomb,Cliffhanger,Missile,0x78BA4,0x78BA4,chozo,0
41,Conveyor Super Missile,Cliffhanger,Missile,0x78BC0,0x78BC0,open,0
42,Castle Store Missile 1,Cliffhanger,Missile,0x78D58,0x78D58,chozo,0
43,Castle Store Missile 3,Cliffhanger,Missile,0x78D5E,0x78D5E,chozo,0
44,Castle Store Missile 4,Cliffhanger,Missile,0x78D70,0x78D70,chozo,0
45,Castle Store Missile 2,Cliffhanger,Missile,0x78D76,0x78D76,chozo,0
46,Orb Fall Missile,Cliffhanger,Missile,0x78C0C,0x78C0C,hidden,0
47,Ninja Power Bomb,Cliffhanger,Missile,0x78C22,0x78C22,hidden,0
48,Covern Ceiling Missile,Cliffhanger,Missile,0x78AF2,0x78AF2,hidden,0
49,Dragon Pipes Super Missile,Cliffhanger,Missile,0x78C44,0x78C44,hidden,0
50,Speed Missile,Cliffhanger,Missile,0x78C7A,0x78C7A,hidden,0
51,Speed Booster,Cliffhanger,Missile,0x78C82,0x78C82,chozo,0
52,Cathedral Kago Missile,Cliffhanger,Missile,0x78CB0,0x78CB0,hidden,0
53,Leaf Bypass Missile,Cliffhanger,Missile,0x78D16,0x78D16,hidden,0
54,Lava Monster Energy Tank,Cliffhanger,Missile,0x78FD2,0x78FD2,open,0
55,Gravity Suit,Cliffhanger,Missile,0x78876,0x78876,open,0
56,Brin Map Super Missile,Cliffhanger,Missile,0x78976,0x78976,open,0
57,GT Power Bomb,Cliffhanger,Missile,0x78E7A,0x78E7A,hidden,0
58,Reserve Tank 4,Cliffhanger,Missile,0x790D0,0x790D0,hidden,0
59,Reserve Tank 2,Cliffhanger,Missile,0x790F4,0x790F4,hidden,0
60,Reserve Tank 1,Cliffhanger,Missile,0x790FA,0x790FA,hidden,0
61,Reserve Tank 3,Cliffhanger,Missile,0x79100,0x79100,hidden,0
62,Hangman Robot Missile,Cliffhanger,Missile,0x7902E,0x7902E,open,0
63,WS Kaizo Pillar Missile,Cliffhanger,Missile,0x7C437,0x7C437,hidden,0
64,WS Fish Tank Missile,Cliffhanger,Missile,0x7C43D,0x7C43D,hidden,0
65,Mama Turtle Energy Tank,Cliffhanger,Missile,0x7C47D,0x7C47D,open,0
66,Mama Turtle Missile,Cliffhanger,Missile,0x7C483,0x7C483,hidden,0
67,Botwoon Hallway Mid Missile,Cliffhanger,Missile,0x7C645,0x7C645,chozo,0
68,Mohawk Energy Tank,Cliffhanger,Missile,0x7C4AF,0x7C4AF,hidden,0
69,Steam Super Missile,Cliffhanger,Missile,0x7C4B5,0x7C4B5,hidden,0
70,Early Hedron Power Bomb,Cliffhanger,Missile,0x7C4CF,0x7C4CF,chozo,0
71,Springball Missile,Cliffhanger,Missile,0x7C541,0x7C541,hidden,0
72,HiJump Missile,Cliffhanger,Missile,0x787EE,0x787EE,hidden,0
73,HiJump,Cliffhanger,Missile,0x787FA,0x787FA,chozo,0
74,Crumble Ocean Super Missile,Cliffhanger,Missile,0x7C5E3,0x7C5E3,open,0
75,Bull Hidden Missile,Cliffhanger,Missile,0x7C5F1,0x7C5F1,hidden,0
76,Bull Arena Missile,Cliffhanger,Missile,0x7C6C5,0x7C6C5,chozo,0
77,Springball,Cliffhanger,Missile,0x7C6E5,0x7C6E5,chozo,0
78,Brin Northeast Speed Super Missile,Cliffhanger,Missile,0x7C7AF,0x7C7AF,open,0
79,Plasma Beam,Cliffhanger,Missile,0x7C559,0x7C559,hidden,0
80,Bowling Missile,Cliffhanger,Missile,0x7C2EF,0x7C2EF,hidden,0
81,Bowling Energy Tank,Cliffhanger,Missile,0x7C2E9,0x7C2E9,open,0x7C6EF
82,Phantoon Super Missile,Cliffhanger,Missile,0x7C337,0x7C337,chozo,0
83,Space Jump,Cliffhanger,Missile,0x788D0,0x788D0,chozo,0
84,Wave Beam,Cliffhanger,Missile,0x78C14,0x78C14,chozo,0
85,Sub Cathedral Energy Tank,Cliffhanger,Missile,0x78F3C,0x78F3C,chozo,0
86,Varia Suit,Cliffhanger,Missile,0x790C0,0x790C0,open,0
87,Grapple Beam,Cliffhanger,Missile,0x7C533,0x7C533,hidden,0
88,Green Brin Sky Missile,Cliffhanger,Missile,0x784CA,0x784CA,open,0
89,Brinstar Reserve Redux Super,Cliffhanger,Missile,0x7852C,0x7852C,chozo,0
90,Back Lab Super Missile,Cliffhanger,Missile,0x78B24,0x78B24,hidden,0
91,Grapple Gladiator Energy Tank,Cliffhanger,Missile,0x78F30,0x78F30,hidden,0
92,Botwoon Hallway Right Missile,Cliffhanger,Missile,0x7C63F,0x7C63F,chozo,0x7C265
93,Botwoon Hallway Top Missile,Cliffhanger,Missile,0x7C69F,0x7C69F,hidden,0
94,Post Gladiator Missile,Cliffhanger,Missile,0x78D1E,0x78D1E,open,0
95,Dragon Bones Energy Tank,Cliffhanger,Missile,0x78C04,0x78C04,chozo,0
96,Under Lava Missile,Cliffhanger,Missile,0x78C5A,0x78C5A,hidden,0
97,Under Lava Power Bomb,Cliffhanger,Missile,0x78C66,0x78C66,chozo,0
98,LN Elevator Missile,Cliffhanger,Missile,0x78E36,0x78E36,hidden,0
99,Varia Missile,Cliffhanger,Missile,0x7C357,0x7C357,chozo,0
